City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
36,Qaanaaq,GL,77.484,-69.3632,42.85,80,99,0.96,overcast clouds
37,Victoria,HK,22.2855,114.1577,85.96,89,100,1.99,light rain
38,Aklavik,CA,68.2191,-135.0107,73.4,53,40,8.05,haze
39,Altay,CN,47.8667,88.1167,63.7,43,62,6.69,broken clouds
40,Te Anau,NZ,-45.4167,167.7167,41.36,95,52,2.24,broken clouds
41,Namatanai,PG,-3.6667,152.4333,78.22,84,39,6.85,light rain
42,Castro,BR,-24.7911,-50.0119,49.1,85,100,4.09,overcast clouds
43,Kalmunai,LK,7.4167,81.8167,84.07,71,100,6.33,overcast clouds
44,Luganville,VU,-15.5333,167.1667,70.11,66,77,6.89,broken clouds
45,Ponta Do Sol,PT,32.6667,-17.1,79.72,68,38,4.18,scattered clouds
46,Mandalgovi,MN,45.7625,106.2708,70.2,36,70,16.42,broken clouds
47,Richards Bay,ZA,-28.783,32.0377,68.23,65,79,7.78,broken clouds
48,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,20,26.46,few clouds
49,Morondava,MG,-20.2833,44.2833,72.86,80,0,8.72,clear sky
50,Sibolga,ID,1.7427,98.7792,75.11,89,98,3.85,light rain
51,Atuona,PF,-9.8,-139.0333,76.8,71,47,14.85,scattered clouds
52,Butaritari,KI,3.0707,172.7902,82.74,70,46,9.62,scattered clouds
53,Bredasdorp,ZA,-34.5322,20.0403,60.12,63,57,16.11,broken clouds
54,Provideniya,RU,64.3833,-173.3,42.03,77,100,9.19,overcast clouds
55,Venado Tuerto,AR,-33.7456,-61.9688,63.77,35,0,4.54,clear sky
56,Upernavik,GL,72.7868,-56.1549,45.34,73,95,9.69,overcast clouds
57,Broome,US,42.2506,-75.833,78.01,60,1,1.01,clear sky
58,Nanortalik,GL,60.1432,-45.2371,52.2,71,100,22.82,light rain
59,Thompson,CA,55.7435,-97.8558,75.36,50,20,5.75,few clouds
60,Mirnyy,RU,62.5353,113.9611,62.83,53,100,5.73,overcast clouds
61,Marawi,PH,7.9986,124.2928,72.64,93,99,2.68,overcast clouds
62,Dzerzhinskoye,RU,56.8344,95.2283,55.35,96,29,4.18,scattered clouds
63,Busselton,AU,-33.65,115.3333,44.1,72,66,6.78,broken clouds
64,Corinto,GR,37.9407,22.9573,103.62,33,0,5.86,clear sky
65,Methoni,GR,36.8197,21.7049,96.22,58,0,7.14,clear sky
66,Macara,EC,-4.3833,-79.95,87.37,37,1,3.69,clear sky
67,Oranjemund,NA,-28.55,16.4333,63.48,52,2,12.53,clear sky
68,Ribeira Grande,PT,38.5167,-28.7,77.4,78,40,14.97,scattered clouds
