City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Bonavista,CA,75.2,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
445,Naze,JP,78.94,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
448,Cabra,ES,89.04,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
452,Khash,IR,86.72,few clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
453,Almansa,ES,84.29,broken clouds,38.8692,-1.0971,Hotel Blu
457,Pocri,PA,87.62,overcast clouds,8.2667,-80.55,Residencial D Cache
458,Lengshuitan,CN,84.06,overcast clouds,26.4111,111.5956,Jialong Hotel
461,Bandarbeyla,SO,78.93,broken clouds,9.4942,50.8122,JABIR HOTEL
463,San Carlos,VE,78.55,broken clouds,9.6612,-68.5827,Hotel Paternopoli
466,Oliveira Dos Brejinhos,BR,84.81,scattered clouds,-12.3169,-42.8961,Hotel Paraiso
473,Keti Bandar,PK,82.09,overcast clouds,24.1447,67.4497,Haji laloo memon house
477,San Jose De Guanipa,VE,85.91,few clouds,8.8872,-64.1651,HOTEL 283 SUITES
479,Erbaa,TR,77.79,clear sky,40.6689,36.5675,Erbaa Öğretmenevi
481,Rybnoye,RU,78.3,overcast clouds,54.7256,39.5119,"Cafe-motel ""Sail"""
482,Yingcheng,CN,87.85,clear sky,30.95,113.55,Yingcheng Hotel
484,Bambanglipuro,ID,76.96,broken clouds,-7.95,110.2833,Puri Brata
485,Poro,PH,84.87,overcast clouds,10.6292,124.4087,RMS Travellers Inn
487,Tortoli,IT,87.98,clear sky,39.9256,9.6572,Hotel La Bitta
490,Kudahuvadhoo,MV,82.22,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
492,Karaton,ID,77.95,clear sky,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
499,Monticello,US,76.91,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
500,Labuhan,ID,78.8,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
503,Rosetta,EG,87.62,clear sky,31.4044,30.4164,Green Valley
513,Lazaro Cardenas,MX,80.64,overcast clouds,17.9583,-102.2,quinta antigua
514,Balkhash,KZ,79.92,clear sky,46.844,74.9804,Family
515,Gushikawa,JP,81.99,broken clouds,26.3544,127.8686,Kirari Guest House
517,Martapura,ID,75.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
519,Yasnyy,RU,83.91,broken clouds,51.0333,59.8742,Gostinitsa
520,Mana,GF,85.68,few clouds,5.6592,-53.7767,LE SAMANA
522,Arrecife,ES,78.78,few clouds,28.963,-13.5477,Hotel Lancelot
523,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
524,Nabire,ID,76.01,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
526,Bani,DO,89.74,few clouds,18.2833,-70.3333,Hospedaje Henriquez
527,Dakar,SN,88.68,few clouds,14.6937,-17.4441,Redface Studios Meublés
532,Carutapera,BR,84.83,clear sky,-1.195,-46.02,Lidera
535,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
538,Kloulklubed,PW,84.18,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
539,Limanu,RO,89.64,clear sky,43.8,28.5333,Mellys Haus
540,Mpanda,TZ,75.96,clear sky,-6.3655,31.0409,CH Hotel - Mpanda
543,Moa,CU,87.57,scattered clouds,20.6569,-74.9403,Carmen
546,Davila,PH,81.21,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
548,Luwuk,ID,76.46,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
552,Soeng Sang,TH,78.37,light rain,14.4264,102.4606,ปาณิสรา รีสอร์ท
554,Gardez,AF,77.74,broken clouds,33.5974,69.2259,زرمت سهاک سیاحتی شرکت TRAVEL AGANCY
558,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
561,Praya,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
566,Yellandu,IN,79.72,broken clouds,17.6,80.3333,Chekuri Satyanarayana
569,Foam Lake,CA,77.02,few clouds,51.65,-103.5343,Fishing Lake Lodge LTD
